Calibration Number, 2041039
Part Number, HP 84310-80019
Serial Number, 351
Measurement Type, Transfer Impedance
Measurement Name, Transfer Impedance
Comments, Calibration after data.
Calibration Date, 1/30/2020
Due Date, 1/30/2021
Calibration Cycle, 1 year
Procedure Number, QAW-FCC-013
Publications, CISPR 16-1-2 Ed. 2.0,  Annex B, Clause B.1 & B.6
Start Frequency, 1000
Stop Frequency, 250000000
Bandwidth, 100
Points, 801
Attenuation, 0
Source Power, 0
Uncertainty, <100Hz: ±1.3dB, 100Hz-750MHz ±.50dB >750MHz: ±.66dB
Software Version, 2.3.0.3
Measurement Data
1000, -37.339895077
1018.22106652, -37.2444846628
1036.44213303, -36.986390636
1054.66319955, -36.8423065177
1072.88426606, -36.706254126
1091.10533258, -36.5411370783
1109.3263991, -36.5057297182
1127.54746561, -36.2798281602
1145.76853213, -36.1884455153
1163.98959864, -36.0055807543
1182.21066516, -35.9060922795
1200.43173168, -35.7835591074
1218.65279819, -35.5946099594
1236.87386471, -35.5332392999
1255.09493122, -35.3968109653
1273.31599774, -35.2844444331
1291.53706426, -35.0904095984
1309.75813077, -35.040647244
1327.97919729, -34.9104659563
1346.20026381, -34.7933351669
1364.42133032, -34.6510901414
1385.78522046, -34.5261099166
1411.03570514, -34.3847151096
1436.28618982, -34.2472680703
1461.5366745, -34.077149449
1486.78715918, -33.9619400616
1512.03764386, -33.8561827396
1537.28812853, -33.6004250592
1562.53861321, -33.5406769418
1587.78909789, -33.35186189
1613.03958257, -33.1923412974
1638.29006725, -33.1136496108
1663.54055193, -32.9739927753
1688.79103661, -32.8586502868
1714.04152129, -32.7403790118
1739.29200597, -32.5869639339
1764.54249065, -32.4716463085
1789.79297532, -32.335638642
1815.04346, -32.2162243497
1840.29394468, -32.0927783246
1865.54442936, -32.0081550235
1890.79491404, -31.8525779592
1920.40067725, -31.6940986428
1955.39242573, -31.5784412561
1990.3841742, -31.4622016164
2025.37592268, -31.2606213154
2060.36767116, -31.1276503468
2095.35941964, -30.9860178461
2130.35116811, -30.8556562888
2165.34291659, -30.7056865672
2200.33466507, -30.5720341683
2235.32641355, -30.4420715684
2270.31816202, -30.2675994548
2305.3099105, -30.1365975424
2340.30165898, -30.0427113842
2375.29340746, -29.9206190462
2410.28515593, -29.7911169625
2445.27690441, -29.6683315878
2480.26865289, -29.5309947726
2515.26040137, -29.4259875685
2550.25214985, -29.2777278529
2585.24389832, -29.184438637
2620.2356468, -29.054540689
2661.26287589, -28.9145753057
2709.75392377, -28.7556611136
2758.24497165, -28.5957169493
2806.73601953, -28.4550899858
2855.22706741, -28.2898776762
2903.71811528, -28.1721056456
2952.20916316, -28.0482928263
3000.70021104, -27.8964330688
3049.19125892, -27.7521191428
3097.6823068, -27.6251961574
3146.17335468, -27.4882608003
3194.66440256, -27.3516659762
3243.15545043, -27.225559197
3291.64649831, -27.0877318964
3340.13754619, -26.9886083191
3388.62859407, -26.86460937
3437.11964195, -26.7236282645
3485.61068983, -26.5883319696
3534.1017377, -26.5013675166
3582.59278558, -26.3792900172
3631.08383346, -26.2558873882
3687.93876117, -26.1223488663
3755.13693865, -25.966928436
3822.33511612, -25.7851310512
3889.5332936, -25.662770805
3956.73147107, -25.5026213341
4023.92964855, -25.3726341513
4091.12782602, -25.210325786
4158.3260035, -25.0841522408
4225.52418097, -24.9583392334
4292.72235844, -24.8258508089
4359.92053592, -24.6680607433
4427.11871339, -24.5431625888
4494.31689087, -24.4102785073
4561.51506834, -24.2800524122
4628.71324582, -24.153655217
4695.91142329, -24.0248582149
4763.10960077, -23.9249230039
4830.30777824, -23.7831978313
4897.50595572, -23.6639155199
4964.70413319, -23.5500040432
5031.90231066, -23.4341279331
5110.6910292, -23.2951484102
5203.81327039, -23.1548148475
5296.93551157, -22.9885471417
5390.05775276, -22.8615465131
5483.17999394, -22.7013575394
5576.30223513, -22.5708401515
5669.42447632, -22.4228327681
5762.5467175, -22.2718508437
5855.66895869, -22.1280521179
5948.79119987, -22.0018953973
6041.91344106, -21.8792785393
6135.03568225, -21.7213407496
6228.15792343, -21.6123807387
6321.28016462, -21.4710414057
6414.40240581, -21.3595420814
6507.52464699, -21.2143946681
6600.64688818, -21.1089285722
6693.76912936, -20.972147769
6786.89137055, -20.8662381746
6880.01361174, -20.7428470165
6973.13585292, -20.6257771545
7082.32009461, -20.5065139327
7212.4274479, -20.3465179227
7342.53480118, -20.1976675399
7472.64215447, -20.031079689
7602.74950776, -19.8884895497
7732.85686105, -19.7462471433
7862.96421434, -19.5927441917
7993.07156763, -19.4629603354
8123.17892092, -19.309705926
8253.28627421, -19.1733710848
8383.3936275, -19.0444247444
8513.50098079, -18.9045900718
8643.60833408, -18.783590338
8773.71568737, -18.6506204918
8903.82304065, -18.5229420268
9033.93039394, -18.3976865463
9164.03774723, -18.2710038687
9294.14510052, -18.158411324
9424.25245381, -18.0329036227
9554.3598071, -17.9211619771
9684.46716039, -17.7949182811
9814.57451368, -17.6842745979
9968.24954573, -17.5477576653
10149.8816838, -17.3985246177
10331.5138218, -17.2419295334
10513.1459598, -17.0922344823
10694.7780978, -16.9379475166
10876.4102358, -16.7963306756
11058.0423739, -16.6540070249
11239.6745119, -16.5109185457
11421.3066499, -16.3770522662
11602.9387879, -16.2363551577
11784.570926, -16.1104198925
11966.203064, -15.9742755341
12147.835202, -15.8518483746
12329.46734, -15.7175650152
12511.099478, -15.590530654
12692.7316161, -15.4638622491
12874.3637541, -15.3445810912
13055.9958921, -15.2255642603
13237.6280301, -15.1039856836
13419.2601681, -14.987550798
